Student ID,Quiz 1,Quiz 2,Homework 1
2393871,100%,100%,100%
2533734,100%,65%,100%
1975334,100%,85%,100%
2268896,100%,30%,90%
2308810,100%,60%,100%
2191306,100%,55%,100%
1785525,100%,100%,100%
2438209,100%,100%,100%
1809914,100%,100%,100%
2479347,100%,90%,0%
2429360,100%,0%,90%
2436311,100%,100%,100%
2546766,100%,90%,100%
2528080,100%,75%,100%
2442634,100%,55%,100%
2524737,100%,45%,90%
2312268,100%,0%,0%
2527593,100%,55%,0%
2513370,100%,100%,100%
2445739,100%,0%,100%
2513408,100%,60%,100%
2547958,100%,65%,0%
2388713,100%,0%,0%
2196485,100%,0%,100%
2519364,100%,65%,100%
2503076,100%,0%,100%
2486086,100%,75%,100%
1777306,100%,90%,0%
2284067,100%,45%,0%
2527617,100%,0%,0%
1885100,100%,90%,100%
2442616,100%,70%,100%
2485776,100%,90%,100%
1478801,100%,0%,100%
